date,noncomm_short,noncomm_long,open_interest_all,net
1986-01-15,7480,11687,82722,4207
1986-01-31,5664,10702,81949,5038
1986-02-14,7091,9113,82008,2022
1986-02-28,10555,10355,79008,-200
1986-03-14,7771,8740,74066,969
1986-03-31,10443,8990,78406,-1453
1986-04-15,8955,12005,79567,3050
1986-04-30,7486,7526,73868,40
1986-05-15,8493,7598,73890,-895
1986-05-30,7920,10377,75216,2457
1986-06-13,7637,12768,74855,5131
1986-06-30,6399,5425,64478,-974
1986-07-15,7341,4965,65294,-2376
1986-07-31,6131,7086,71238,955
1986-08-15,3289,11302,77588,8013
1986-08-29,3424,9953,67835,6529
1986-09-15,4913,16365,87271,11452
1986-09-30,4808,12097,73895,7289
1986-10-15,4559,12235,84548,7676
1986-10-31,4438,13490,89998,9052
1986-11-14,5501,13833,98214,8332
1986-11-28,3951,8485,90952,4534
1986-12-15,3326,8741,89252,5415
1986-12-31,4693,8638,89822,3945
1987-01-15,3672,9986,93470,6314
1987-01-30,3729,10122,95672,6393
1987-02-13,4243,8984,94609,4741
1987-02-27,6561,9873,89438,3312
1987-03-13,5539,12775,92735,7236
1987-03-31,6973,19625,100751,12652
1987-04-15,8692,20923,111131,12231
1987-04-30,6519,15262,108882,8743
1987-05-15,6627,19916,99902,13289
1987-05-29,6578,11438,93803,4860
1987-06-15,3864,13384,92473,9520
1987-06-30,4697,13283,80745,8586
1987-07-15,5487,15011,83105,9524
1987-07-31,5983,17923,88277,11940
1987-08-14,5684,12014,86311,6330
1987-08-31,8965,9894,82360,929
1987-09-15,7153,12743,80424,5590
1987-09-30,5956,9740,78573,3784
1987-10-15,5206,10543,86803,5337
1987-10-30,6055,9794,82890,3739
1987-11-13,5029,8154,78897,3125
1987-11-30,4308,7029,71169,2721
1987-12-15,4567,8767,71447,4200
1987-12-31,4499,7244,74233,2745
1988-01-15,4852,8337,77166,3485
1988-01-29,6428,7767,79470,1339
1988-02-12,7385,6719,80621,-666
1988-02-29,6019,9124,71002,3105
1988-03-15,4761,8042,67760,3281
1988-03-31,4154,14472,68708,10318
1988-04-15,5184,8005,65254,2821
1988-04-29,4149,8187,62356,4038
1988-05-13,4984,9568,69826,4584
1988-05-31,4968,11371,71083,6403
1988-06-15,5065,15304,81946,10239
1988-06-30,4251,12945,79431,8694
1988-07-15,5705,21107,86951,15402
1988-07-29,5459,13803,83956,8344
1988-08-15,5956,9494,81975,3538
1988-08-31,5179,7866,76870,2687
1988-09-15,5296,8573,84791,3277
1988-09-30,5538,7371,81903,1833
1988-10-14,5651,10886,86088,5235
1988-10-31,4116,9320,86090,5204
1988-11-15,4505,10628,89952,6123
1988-11-30,11505,10572,91104,-933
1988-12-15,10341,12242,90557,1901
1988-12-30,11186,12815,93990,1629
1989-01-13,12664,11392,92768,-1272
1989-01-31,10332,13385,94178,3053
1989-02-15,9376,13333,96665,3957
1989-02-28,8555,14201,91910,5646
1989-03-15,4602,20438,91484,15836
1989-03-31,11191,19375,97317,8184
1989-04-14,10651,19359,101606,8708
1989-04-28,11074,17135,93849,6061
1989-05-15,13792,17893,93496,4101
1989-05-31,9429,15244,87166,5815
1989-06-15,7496,12541,87582,5045
1989-06-30,9083,11267,85789,2184
1989-07-14,7778,10808,82030,3030
1989-07-31,12069,12565,88352,496
1989-08-15,10879,12261,87521,1382
1989-08-31,13822,13863,84012,41
1989-09-15,14669,15299,84173,630
1989-09-29,7600,17540,88111,9940
1989-10-13,12773,16530,87867,3757
1989-10-31,8308,16866,88762,8558
1989-11-15,2214,20754,89216,18540
1989-11-30,2564,27449,90479,24885
1989-12-15,3309,26513,94383,23204
1989-12-29,4373,17180,94843,12807
1990-01-15,6257,17366,95260,11109
1990-01-31,7111,16038,92892,8927
1990-02-15,4687,19825,91942,15138
1990-02-28,10279,19165,95314,8886
1990-03-15,13001,20497,96786,7496
1990-03-30,12453,19698,98752,7245
1990-04-12,8016,20310,92661,12294
1990-04-30,12738,19264,96543,6526
1990-05-15,11678,20451,94790,8773
1990-05-31,2232,25058,97589,22826
1990-06-15,12995,19336,110675,6341
1990-06-29,13259,23020,102356,9761
1990-07-13,11689,22927,98270,11238
1990-07-31,14596,19957,100192,5361
1990-08-15,3391,20153,101135,16762
1990-08-31,8976,16602,93504,7626
1990-09-14,10086,16862,91407,6776
1990-09-28,8559,17221,91807,8662
1990-10-15,9178,18328,91155,9150
1990-10-31,9393,19860,89414,10467
1990-11-15,6741,15257,84858,8516
1990-11-30,6680,16617,73707,9937
1990-12-14,9879,17426,82613,7547
1990-12-31,4098,17508,84343,13410
1991-01-15,6592,19645,92239,13053
1991-01-31,9362,17231,89726,7869
1991-02-15,8736,21931,102137,13195
1991-02-28,8553,21650,96613,13097
1991-03-15,2880,29042,99760,26162
1991-03-28,4248,27461,105335,23213
1991-04-15,3183,22744,98063,19561
1991-04-30,4830,23134,95163,18304
1991-05-15,3851,24657,95414,20806
1991-05-31,7249,24583,98889,17334
1991-06-14,2224,29982,108901,27758
1991-06-28,1823,29693,97162,27870
1991-07-15,4474,27926,97616,23452
