date,open_interest_all,net
1986-01-15,82722,4207
1986-01-31,81949,5038
1986-02-14,82008,2022
1986-02-28,79008,-200
1986-03-14,74066,969
1986-03-31,78406,-1453
1986-04-15,79567,3050
1986-04-30,73868,40
1986-05-15,73890,-895
1986-05-30,75216,2457
1986-06-13,74855,5131
1986-06-30,64478,-974
1986-07-15,65294,-2376
1986-07-31,71238,955
1986-08-15,77588,8013
1986-08-29,67835,6529
1986-09-15,87271,11452
1986-09-30,73895,7289
1986-10-15,84548,7676
1986-10-31,89998,9052
1986-11-14,98214,8332
1986-11-28,90952,4534
1986-12-15,89252,5415
1986-12-31,89822,3945
1987-01-15,93470,6314
1987-01-30,95672,6393
1987-02-13,94609,4741
1987-02-27,89438,3312
1987-03-13,92735,7236
1987-03-31,100751,12652
1987-04-15,111131,12231
1987-04-30,108882,8743
1987-05-15,99902,13289
1987-05-29,93803,4860
1987-06-15,92473,9520
1987-06-30,80745,8586
1987-07-15,83105,9524
1987-07-31,88277,11940
1987-08-14,86311,6330
1987-08-31,82360,929
1987-09-15,80424,5590
1987-09-30,78573,3784
1987-10-15,86803,5337
1987-10-30,82890,3739
1987-11-13,78897,3125
1987-11-30,71169,2721
1987-12-15,71447,4200
1987-12-31,74233,2745
1988-01-15,77166,3485
1988-01-29,79470,1339
1988-02-12,80621,-666
1988-02-29,71002,3105
1988-03-15,67760,3281
1988-03-31,68708,10318
1988-04-15,65254,2821
1988-04-29,62356,4038
1988-05-13,69826,4584
1988-05-31,71083,6403
1988-06-15,81946,10239
1988-06-30,79431,8694
1988-07-15,86951,15402
1988-07-29,83956,8344
1988-08-15,81975,3538
1988-08-31,76870,2687
1988-09-15,84791,3277
1988-09-30,81903,1833
1988-10-14,86088,5235
1988-10-31,86090,5204
1988-11-15,89952,6123
1988-11-30,91104,-933
1988-12-15,90557,1901
1988-12-30,93990,1629
1989-01-13,92768,-1272
1989-01-31,94178,3053
1989-02-15,96665,3957
1989-02-28,91910,5646
1989-03-15,91484,15836
1989-03-31,97317,8184
1989-04-14,101606,8708
1989-04-28,93849,6061
1989-05-15,93496,4101
1989-05-31,87166,5815
1989-06-15,87582,5045
1989-06-30,85789,2184
1989-07-14,82030,3030
1989-07-31,88352,496
1989-08-15,87521,1382
1989-08-31,84012,41
1989-09-15,84173,630
1989-09-29,88111,9940
1989-10-13,87867,3757
1989-10-31,88762,8558
1989-11-15,89216,18540
1989-11-30,90479,24885
1989-12-15,94383,23204
1989-12-29,94843,12807
1990-01-15,95260,11109
1990-01-31,92892,8927
1990-02-15,91942,15138
1990-02-28,95314,8886
1990-03-15,96786,7496
1990-03-30,98752,7245
1990-04-12,92661,12294
1990-04-30,96543,6526
1990-05-15,94790,8773
1990-05-31,97589,22826
1990-06-15,110675,6341
1990-06-29,102356,9761
1990-07-13,98270,11238
1990-07-31,100192,5361
1990-08-15,101135,16762
1990-08-31,93504,7626
1990-09-14,91407,6776
1990-09-28,91807,8662
1990-10-15,91155,9150
1990-10-31,89414,10467
1990-11-15,84858,8516
1990-11-30,73707,9937
1990-12-14,82613,7547
1990-12-31,84343,13410
1991-01-15,92239,13053
1991-01-31,89726,7869
1991-02-15,102137,13195
1991-02-28,96613,13097
1991-03-15,99760,26162
